time,open,high,low,close
2025-02-03 22:39:00,191.934,191.934,191.904,191.922
2025-02-03 22:40:00,191.914,191.942,191.91,191.913
2025-02-03 22:41:00,191.907,191.921,191.901,191.904
2025-02-03 22:42:00,191.896,191.924,191.886,191.907
2025-02-03 22:43:00,191.907,191.911,191.885,191.89
2025-02-03 22:44:00,191.891,191.904,191.86,191.877
2025-02-03 22:45:00,191.877,191.921,191.877,191.913
2025-02-03 22:46:00,191.916,191.916,191.88,191.889
2025-02-03 22:47:00,191.883,191.895,191.873,191.887
2025-02-03 22:48:00,191.888,191.92,191.881,191.92
2025-02-03 22:49:00,191.92,191.96,191.908,191.96
2025-02-03 22:50:00,191.965,192.005,191.954,191.955
2025-02-03 22:51:00,191.963,191.972,191.94,191.944
2025-02-03 22:52:00,191.944,191.956,191.93,191.935
2025-02-03 22:53:00,191.933,191.972,191.933,191.958
2025-02-03 22:54:00,191.953,191.954,191.922,191.933
2025-02-03 22:55:00,191.927,191.927,191.898,191.901
2025-02-03 22:56:00,191.9,191.908,191.889,191.906
2025-02-03 22:57:00,191.901,191.906,191.888,191.902
2025-02-03 22:58:00,191.895,191.914,191.89,191.914
2025-02-03 22:59:00,191.912,191.921,191.861,191.868
2025-02-03 23:00:00,191.872,191.879,191.815,191.823
2025-02-03 23:01:00,191.822,191.827,191.786,191.802
2025-02-03 23:02:00,191.805,191.848,191.785,191.848
2025-02-03 23:03:00,191.847,191.85,191.834,191.847
2025-02-03 23:04:00,191.848,191.848,191.837,191.839
2025-02-03 23:05:00,191.851,191.871,191.841,191.856
2025-02-03 23:06:00,191.856,191.856,191.844,191.844
2025-02-03 23:07:00,191.844,191.847,191.828,191.84
2025-02-03 23:08:00,191.841,191.851,191.841,191.842
2025-02-03 23:09:00,191.838,191.84,191.822,191.832
2025-02-03 23:10:00,191.831,191.838,191.831,191.838
2025-02-03 23:11:00,191.829,191.829,191.814,191.825
2025-02-03 23:12:00,191.823,191.833,191.816,191.833
2025-02-03 23:13:00,191.844,191.844,191.824,191.824
2025-02-03 23:14:00,191.825,191.842,191.825,191.841
2025-02-03 23:15:00,191.832,191.857,191.832,191.857
2025-02-03 23:16:00,191.856,191.86,191.848,191.851
2025-02-03 23:17:00,191.851,191.867,191.851,191.866
2025-02-03 23:18:00,191.865,191.866,191.839,191.851
2025-02-03 23:19:00,191.851,192.013,191.837,191.99
2025-02-03 23:20:00,192.022,192.041,191.929,192.001
2025-02-03 23:21:00,192.0,192.009,191.966,191.997
2025-02-03 23:22:00,191.997,192.047,191.988,192.047
2025-02-03 23:23:00,192.049,192.058,192.032,192.043
2025-02-03 23:24:00,192.037,192.067,192.037,192.067
2025-02-03 23:25:00,192.064,192.068,192.044,192.063
2025-02-03 23:26:00,192.063,192.101,192.062,192.078
2025-02-03 23:27:00,192.079,192.097,192.073,192.086
2025-02-03 23:28:00,192.088,192.11,192.083,192.107
2025-02-03 23:29:00,192.13,192.139,192.112,192.129
2025-02-03 23:30:00,192.133,192.144,192.115,192.118
2025-02-03 23:31:00,192.115,192.161,192.114,192.161
2025-02-03 23:32:00,192.173,192.224,192.149,192.224
2025-02-03 23:33:00,192.226,192.252,192.222,192.235
2025-02-03 23:34:00,192.236,192.263,192.23,192.263
2025-02-03 23:35:00,192.258,192.262,192.219,192.223
2025-02-03 23:36:00,192.224,192.478,192.223,192.451
2025-02-03 23:37:00,192.444,192.468,192.35,192.461
2025-02-03 23:38:00,192.46,192.496,192.392,192.492
2025-02-03 23:39:00,192.49,192.554,192.465,192.553
2025-02-03 23:40:00,192.552,192.584,192.535,192.559
2025-02-03 23:41:00,192.557,192.633,192.506,192.573
2025-02-03 23:42:00,192.573,192.594,192.525,192.547
2025-02-03 23:43:00,192.548,192.572,192.488,192.492
2025-02-03 23:44:00,192.487,192.512,192.464,192.464
2025-02-03 23:45:00,192.329,192.566,192.329,192.454
2025-02-03 23:46:00,192.467,192.571,192.462,192.552
2025-02-03 23:47:00,192.551,192.665,192.543,192.616
2025-02-03 23:48:00,192.614,192.642,192.582,192.637
2025-02-03 23:49:00,192.636,192.677,192.636,192.658
2025-02-03 23:50:00,192.65,192.799,192.603,192.799
2025-02-03 23:51:00,192.727,192.82,192.692,192.77
2025-02-03 23:52:00,192.77,192.813,192.691,192.813
2025-02-03 23:53:00,192.809,192.81,192.689,192.782
2025-02-03 23:54:00,192.767,192.768,192.615,192.721
2025-02-03 23:55:00,192.734,192.753,192.722,192.739
2025-02-03 23:56:00,192.742,192.753,192.714,192.728
2025-02-03 23:57:00,192.726,192.753,192.671,192.671
2025-02-03 23:58:00,192.671,192.699,192.625,192.667
2025-02-03 23:59:00,192.665,192.68,192.635,192.635
2025-02-04 00:01:00,192.583,192.66,192.547,192.547
2025-02-04 00:02:00,192.546,192.546,192.429,192.533
2025-02-04 00:03:00,192.534,192.534,192.206,192.363
2025-02-04 00:04:00,192.362,192.364,192.202,192.364
2025-02-04 00:05:00,192.365,192.365,192.241,192.365
2025-02-04 00:06:00,192.364,192.364,192.364,192.364
2025-02-04 00:07:00,192.438,192.439,192.364,192.37
2025-02-04 00:08:00,192.398,192.435,192.345,192.374
2025-02-04 00:09:00,192.374,192.421,192.358,192.363
2025-02-04 00:10:00,192.364,192.419,192.336,192.363
2025-02-04 00:11:00,192.358,192.368,192.344,192.368
2025-02-04 00:12:00,192.367,192.396,192.307,192.396
2025-02-04 00:13:00,192.379,192.408,192.329,192.365
2025-02-04 00:14:00,192.364,192.412,192.359,192.37
2025-02-04 00:15:00,192.383,192.469,192.383,192.469
2025-02-04 00:16:00,192.425,192.464,192.425,192.429
2025-02-04 00:17:00,192.429,192.478,192.429,192.475
2025-02-04 00:18:00,192.476,192.476,192.427,192.427
2025-02-04 00:19:00,192.427,192.484,192.427,192.436
2025-02-04 00:20:00,192.436,192.491,192.436,192.437
2025-02-04 00:21:00,192.437,192.514,192.436,192.514
2025-02-04 00:22:00,192.536,192.536,192.5,192.504
2025-02-04 00:23:00,192.5,192.511,192.497,192.497
2025-02-04 00:24:00,192.499,192.502,192.498,192.502
2025-02-04 00:25:00,192.499,192.501,192.443,192.498
2025-02-04 00:26:00,192.457,192.603,192.451,192.546
2025-02-04 00:27:00,192.547,192.606,192.546,192.566
2025-02-04 00:28:00,192.566,192.567,192.564,192.567
2025-02-04 00:29:00,192.566,192.571,192.564,192.571
2025-02-04 00:30:00,192.568,192.594,192.565,192.566
2025-02-04 00:31:00,192.565,192.587,192.565,192.566
2025-02-04 00:32:00,192.566,192.568,192.564,192.566
